Reviewer Name,Title,Rating,Review Location,Review Date,Review Text,Colour Name
Ariela,Just big enough for my 25 pound dog,5.0,United States ,2024-05-08,It’s extremely cute but probably needs to  be up against the wall as the back doesn’t have much shape to stay up otherwise. My dog is 25 pounds and I’d say if you dog is much bigger than that it probably will be too small but it’s perfect for 25 and under. It’s soft and cute,Black
Kylee,Kinda floppy but totally excellent. Fits 2,5.0,United States ,2024-05-09,"Video Player is loading.Play VideoPlayMuteCurrent Time0:00/Duration0:25Loaded:24.02%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:251xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglishAudio Trackdefault, selectedFullscreenThis is a modal window.Love this couch. I found it needs to be up against a wall to hold its shape.",
Mina Elizabeth,Happy kitty,5.0,United States ,2024-05-10,"Happy, snuggly kitty, A+.",
Susanne DeVenture,Great,5.0,United States ,2024-05-11,My dog loves it,
Amber,Fluffy and good quality,4.0,United States ,2024-05-12,My kitten won't use it😂.But it's great quality and I like that the cover is removable. Sad she doesn't care for it but I do think it's a good product.I would consider maybe switching out the bottom pillow for something a little more study if you have an older cat. Might not be good for their bones and joints.Update: My car sleeps on this every night now that it's not cold so she's not using her heating bed. Hasn't lost its fluff at all 2+ months later. Can't give this product enough props,Yellow
Sarah Kreke,Cute but flimsy,4.0,United States ,2024-05-13,The idea is super cute and so is the design but it definitely needs more stuffing.,
Jammie Meredith,Don’t waste your time or money.,1.0,United States ,2024-05-14,"Only giving a 1 because 0 isn’t an option.Floppy, shape not held.  Looks like found in an old shed after years of having stuff piled on it.  Nothing like the picture.",
Laura,"Terrible quality, not worth the money",1.0,United States ,2024-05-15,I did not receive the item pictured. It lacks the structure of the bed in the design. It isn’t filled enough to hold its shape. It’s a total rip off.,
Alyson P.,Perfect!,5.0,United States ,2024-05-16,My 16 year old Yorkie loves it. It’s big enough that the cat can lay on it with her and they’re not crowding each other. Easy to put together.,
Justin Schell,Couch Queen,5.0,United States ,2024-05-17,"I legit never do reviews but look at my little couch queen. The assembly was easy, just fluffed it a bit. It smelled like packaging so I washed it first and she started using it instantly. Legit adorable. Her couch is next to ours and I just can't. It's soft, the quality is nice. The size is good for one...fluffy cat. Our other 2 cats might need their own because this one won't share but absolutely worth.",White
Carol ohlund,Extremely smaller than the first one!!!!,1.0,United States ,2024-05-18,Be aware of the size! This seller has several different options. The first one I got last week was a good size. This one is like a Mini version .  so not worth the price it should be about 25.00 . they also do not sit up like in the photos. They lack stuffing by Alot. They just fall flat like a blanket.  I do NOT recommend anything from this seller.,
DeeBee,My cat loves this couch!,5.0,United States ,2024-05-19,This couch is super cute. And my cat loves it. She did kind of make a dent in it from laying in it so much lol but it’s easily reshapable. I haven’t gotten to clean the couch yet but I’m sure it would be easy to just take off the cover and wash it and then hang to dry. It does collect some hair but can be removed with a lint roller. Would purchase again.,Blue
S. Reese,Instant success!,5.0,United States ,2024-05-20,My girl is a hefty kitty. I was worried she wouldn’t fit but it’s perfect. She loves snuggling in blankets or on top of me when I’m sitting w/ a blanket which if fine occasionally but when I’m up and down she gets annoyed. Now she has her own little couch 🥰 it’s perfect! Put it together and put some catnip on it and five mins she’s snoozin. So glad I took the chance and bought this.For those complaining of the stuffing being thin- you have to spend a few mins with each cushion before inserting into the cover - and fluff the heck out of it and it’s fine.,White
Susie,Super Little Sofa,5.0,United States ,2024-05-21,My 14-year-old cat seems to have pain worse than just arthritis pain so I got her this cushy couch to sleep on.It has a very padded sofa seat and very well engineered bolsters on either end my two kitties will race to see who gets the sofa.  It shouldn't take long before I have to buy another one so each can  have their own.,Green
Nathan Lee,As advertised,5.0,United States ,2024-05-22,"Looks comfortable, feels great. it's bigger then I had expected so I havn't found the best place for it, but where ever i set it at my fur fam likes to sleep on it. Just note the length when purchasing. That was my personal fault, but honestly I would have still bought it anyway. I made an extra extension to my window area by adding a piece of wood to sit the couch on and they love sitting on it with the window up in the sun. Just an idea for people to consider",
Sydnee,My cat loves her mini couch!,5.0,United States ,2024-05-23,My fur baby is obsessed with our couch and gets sad when she can’t have the human couch all to herself. I bought this for her and was unsure if she’d love it fully. She hasn’t left it since!She’s so happy.10/10,Yellow
Yael Rootberg,Cat loves it,5.0,United States ,2024-05-24,"My cat loves it so much that he won't let his brothers use it, even though there is plenty of room for them.If I want him to go into another room, all I have to do is move the little couch and he jumps in.",Pink
Zanna Kazen,Cat LOVES it!,5.0,United States ,2024-05-25,"I was hesitant at first, but once this was assembled, my cat started lying on it. It is now his FAVORITE spot! Highly recommend and would buy again!",Blue
Baylie Nixon,Soo cute!,5.0,United States ,2024-05-26,"Both my dogs and cats love this little couch so much,they race to see who gets to sit on it first. Might need to just buy another one!",Green
Daniel Garcia,Cute,4.0,United States ,2024-05-27,"I bought this for my puppy, it looks adorable in my living room and she loves it",Pink
Margaret,So adorable and soft,5.0,United States ,2024-05-28,My cat loves his new bed! It's extremely plush and soft and he even makes biscuits in it! It is easy to vacuum on a low setting as well. Definitely recommend.,Pink
